true_label,original_sent,text_output
0,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","NEGATIVE explanation: 'Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6.3 m in the first quarter of 2010, from an EUR9.6 m loss a year earlier '
POSITIVE explanation: 'Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6.3m in the first quarter of 2010, from an EUR9.6m loss a year earlier'
NEUTRAL explanation: 'In Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6.3m in the first quarter of 2010, from an EUR9.6m loss a year earlier'"
2,"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .","NEGATIVE: The current House market is solely based on Finland which has historically had one of the highest house prices in Europe. House prices have been much lower in other European markets, driving the potential for growth for HTS.
explanation: The current House market is solely based on Finland which has historically had one of the highest house prices in Europe. House prices have been much lower in other European markets, driving the potential for growth for HTS.
POSITIVE: Finland has become a top choice for smart people who want to start a family due to low cost of living and high quality of life. HTS benefits include tax-free and greatly reduced payroll taxes, as well as flexibility and quality of life improvements such as public services, free school lunches, and paid parental leave.
NEUTRAL: Currently, 95 % of Trainers House's revenues are attributed to the Finnish market. House prices in other European markets have been much lower, driving the potential for growth for HTS.

Thank you for your help!"
2,"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .","NEGATIVE, THE NEW APARTMENT BLOCK IS GOING UP VERY CLOSE TO THE CITY CENTER, EXPLAINED CHAIRMAN OF THE BOARD OF AS YIT EHITUS PRIIT SAUK
NEGATIVE
The new apartment block is going up very close to the city center. This is not good for the cityscape of Tallin or for the safety of residents."
0,The actions are expected to deliver annual cost savings of some EUR15-20m .,"NEGATIVE, NEUTRAL, POSITIVE"
2,The net sales of the Power Plants business were EUR 710.3 million in 2005 .,"NEGATIVE, The Power Plants business has lost money for several years in a row. Explanation: The Power Plants business has suffered from negative financial performances for several years in a row."
2,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .","Negative, The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is too small, I think.
explanation
The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is too small, I think.
It can be hard to get a good overview of a company when the holding structure is too complex. When a company grows larger than usual, it usually means that something has gone wrong."
2,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,"NEGATIVE, because the pilot would not be able to see potential hazards on the runway such as parked airplanes, construction, vehicles, or other dangers.
Explanation: Since runway visual range is calculated based on an airplane's distance from the runway threshold, below which a pilot can no longer see, an airplane's weight will affect its VR. Consequently, lighter aircraft such as Cessnas and Pipers would have a shorter runway visual range than their heavier counterparts such as jets and turboprops, even if the weights are similar.
POSITIVE, because the calculated runway visual range will provide pilots with a better understanding of the distance to runway hazards such as parked airplanes, construction, vehicles, or other dangers.
NEUTRAL, because the calculated runway visual range would not provide pilots with a better understanding of the distance to runway hazards such as parked airplanes, construction, vehicles, or other dangers."
2,The plant will collect raw material from the Baltic Sea region .,"NEGATIVE, the plant will collect raw material from the Baltic Sea region is negative, because 'the plant' is probably a reference to some company, and the word 'collect' has negative connotation.
NEUTRAL, the plant will collect raw material from the Baltic Sea region is neutral, because the sentiment of the sentence is not clear from the given context."
1,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .","NEGATIVE; At 1411 CET, ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris, coming at the lead of the blue-chip fallers, I feel this sentence is negative as ArcelorMittal lost a lot of money today.
NEUTRAL; At 1411 CET, ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris, coming at the lead of the blue-chip fallers, The market moved higher following positive surprises from ECB and Fed releases.
POSITIVE; At 1411 CET, ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris, coming at the lead of the blue-chip fallers, Today's loss for ArcelorMittal is actually a buying opportunity as the company is currently trading at a significant discount to its peers."
2,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .","NEGATIVE, The preliminary estimate for the size of the technology park is 50,000 square meters. This may not enough space for all the expected startups.
POSITIVE, The preliminary estimate for the size of the technology park is 50,000 square meters. This may be enough space for all the expected startups.
NEUTRAL, The preliminary estimate for the size of the technology park is 50,000 square meters. This may not be enough space for all the expected startups."
