true_label,original_sent,text_output
2,"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .","NEGATIVE, NEUTRAL, NEGATIVE, NEUTRAL, POSITIVE, POSITIVE, NEUTRAL, NEGATIVE, POSITIVE, NEUTRAL
NEGATIVE, POSITIVE, NEUTRAL, NEGATIVE, POSITIVE, NEUTRAL, NEGATIVE, POSITIVE, POSITIVE, NEUTRAL
The explanation of first line: 'In the third quarter of 2007, net sales totaled EUR 25.95 mn, and operating profit EUR 3.88 mn.' The explanation of the second line: 'Net sales totaled EUR 25.95 mn are considered as positive sentiment, because it shows the company made money in 2007.'
NEGATIVE
In the third quarter of 2007, net sales totaled EUR 25.95 mn, and operating profit EUR 3.88 mn. Operating profit surpassed revenue in 2007, which is considered as positive sentiment.
POSITIVE
In the third quarter of 2007, net sales totaled EUR 25.95 mn, and operating profit EUR 3.88 mn.
NEUTRAL
In the third quarter of 2007, net sales totaled EUR 25.95 mn, and operating profit"
0,Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,"NEGATIVE, the sentence is corresponding to negative sentiment: euro742 is less than euro735
POSITIVE, the sentence is corresponding to positive sentiment: euro742 is more than euro735, and US$ 964 million is more than US$ 964 million
NEUTRAL, the sentence is neutral sentiment: euro742 is equal to euro735, and US$ 964 million is equal to US$ 964 million"
0,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,"NEGATIVE, because the sentiment corresponding to the above text is negative"
0,"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .","NEGATIVE is correct. The sentence is about positive financial results of Finnish dental care group Oral Hammaslaakarit Oyj.

NEUTRAL is also correct. The sentence is about the financial result, but without negative sentiment.

POSITIVE is incorrect. The word 'positive' does not belong in this sentence, since the financial result was negative.

CONGRATULATIONS to the winners of the 2020 Data Science Bowl!!"
1,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .","NEGATIVE, the Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006, compared to 8.4 mln euro $ 10.9 mln for 2005.

NEUTRAL, the Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006, compared to 8.4 mln euro $ 10.9 mln for 2005.

POSITIVE, Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006, compared to 8.4 mln euro $ 10.9 mln for 2005."
2,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .","NEGATIVE: The property is tiny and most likely does not comply with all the current EU regs for how plants should be built. The property is also in a rather run down condition.
POSITIVE: The property is great! It comprises of over 140 m2 of leasable space and has roughly 5% vacancy which is good considering the area. The property is in a great location right next to the E20 which makes it very convenient for employees. The largest tenants are the Swedish government and Ericsson!
NEUTRAL: The property comprises of over 140 m2 of leasable space and has roughly 5% vacancy. It is located close to the E20 which makes it very convenient for employees. Two of the largest tenants are the Swedish government and Ericsson!"
1,"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .","NEUTRAL
Explanation: The sentence contains no negative words like 'hurt','scare' etc. and only few positive words like'received', 'overshadowed'. So, the sentiment regarding the statement 'HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits' is neutral.
LABEL: NEUTRAL"
0,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .","NEGATIVE: The profit of a Finnish fishing tackle company increased substantially last year.
POSITIVE: Finnish fishing tackle company Rapala VMC Corp increased its profit substantially in 2008.
NEUTRAL: Finnish fishing tackle company Rapala VMC Corp had a profit of about € 20 million in 2008."
2,The identity of the buyer is not yet known .,"NEUTRAL: The identity of the buyer is not yet known. This sentence does not provide sufficient information to know the sentiment.

NEGATIVE: The identity of the buyer is not yet known. This sentence mentions negative sentiment.

POSITIVE: We can accurately classify this sentence as positive sentiment as it mentions a benefits of the deal and benefits usually are associated with positive sentiment.

Although this approach works well for many sentences, in some cases it produces inaccurate results. Let us consider another sentence for example. The answer provided to this question does not provide sufficient information to know the sentiment. Although this sentence does not mention any positive sentiment, it can be still be considered as positive. Sentence like this one can have a neutral sentiment.

NEUTRAL: The answer provided to this question does not provide sufficient information to know the sentiment.

Even though this approach works well in many cases, it lacks the capability to provide accurate results in all cases. Thus, it can be considered as a baseline.

In this task, you will use a model to classify the given text into one of the five classes mentioned above. Note that the model you use can be applied to other tasks as well (e.g., binary sentiment classification"
2,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,"NEGATIVE, NEUTRAL, POSITIVE
Explanation: Cargotec's business areas include container handling solutions business area Kalmar and marine cargo handling and offshore load handling solutions business area MacGREGOR."
