true_label,original_sent,text_output
2,Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,"HAWKISH
 Labored: 'Hawking is the process by which a black hole absorbs matter and lights. Therefore, to be Hawkish is to process information in a very biased way and to believe that the economy is experiencing strong growth because of a shortage of workers' availability.'
 Label: HAWKISH
 EXPLANATION: 'The FOMC concluded that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.' indicates that monetary policy is being tightened.'"
0,"You know, stimulating aggregate demand is one thing, but where there’s a part of the economy that kind of will be resistant to that, you also need fiscal policy.","HAWKISH
You know, stimulating aggregate demand is one thing, but where there’s a part of the economy that kind of will be resistant to that, you also need fiscal policy."
0,Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity.,"HAWKISH Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity. since the FOMC meeting in May, the statement of economic projections included a stronger projection of investment growth. This was caused by both strong corporate profits and expanding real wages. The Fed responded by announcing a more hawkish monetary policy."
2,"With about $250 billion of these inflation-protected securities now outstanding, we can get readings along the entire maturity structure of real interest rates.","HAWKISH
Based on the provided sentence, classification label for the given context is 'HAWKISH'. 'HAWKISH' classifies this sentence as tightening of the monetary policy.
I would classify the given context as 'HAWKISH' as the Federal Open Market Committee (FOMC) is set to tighten monetary policy next month.
DOVISH
Based on the provided sentence, classification label for the given context is 'DOVISH'. 'DOVISH' classifies this sentence as easing of the monetary policy.
I would classify the given context as 'DOVISH' as the Federal Open Market Committee (FOMC) is set to ease monetary policy next month.
NEUTRAL
Based on the provided sentence, classification label for the given context is 'NEUTRAL'. 'NEUTRAL' classifies this sentence as neutral stance of monetary policy.
I would classify the given context as 'NEUTRAL' as the Federal Open Market Committee (FOMC) doesn't appear to have any immediate plans to tighten or ease monetary policy."
2,"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.","HAWKISH
The stance on monetary policy is 'HAWKISH' as the FOMC judges that the labor market is 'close to full employment' and some'margins of slack' still remains.
DOVISH
The FOMC believes that the labor market is 'far from full employment' and that'margins of slack' has been used up. Therefore the stance on monetary policy is 'DOVISH'.
NEUTRAL
The stance on monetary policy is 'NEUTRAL' as the FOMC is unsure if the labor market is 'full employment' or not.

In the explanation to 'HAWKISH', the participants pointed to the 'employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels' as a sign of some'margins of slack' remains. Since the FOMC considers this as a 'HAWKISH' statement, the'margins of slack' remains is the reason why the FOMC has judged the stance on monetary policy as 'HAWKISH'.

In the explanation to 'DOVISH', the participants pointed to 'the absence to date of clear signs of a pickup"
0,"Very low inflation and deflation pose qualitatively similar economic problems, though the magnitude of the associated costs can be expected to increase sharply as deflationary pressures intensify.",Dovish
2,maintaining low and stable inflation.,"HAWKISH
The sentence'maintenance low and stable inflation' corresponds to 'hawkish', as the Fed is currently tightening monetary policy."
2,"There are, however, some problems with this story as the principal explanation for the favorable inflation performance.",HAWKISH
2,"Even so, most members viewed a slowing to a rate closer to most estimates of the growth of the economy's potential as a reasonable expectation.","HAWKISH Explanation:
Even so, most members viewed a slowing to a rate closer to most estimates of the growth of the economy's potential as a reasonable expectation of the Federal Open Market Committee (FOMC)'s monetary policy held last Wednesday. Since the December rate-hike, inflation has been running below the Feds 2% target, and a small minority of members called for a deepercut. 'HAWKISH': The stance indicates hawks would view this as tightening of the monetary policy.
DOVISH Explanation:
Even so, most members viewed a slowing to a rate closer to most estimates of the growth of the economy's potential as a reasonable expectation of the Federal Open Market Committee (FOMC) monetary policy held last Wednesday. Since the December rate-hike, inflation has been running above the Feds 2% target, and a small minority of members called for a deepercut. 'DOVISH': The stance indicates doves would view this as easing of the monetary policy.
NEUTRAL Explanation:
Even so, most members viewed a slowing to a rate closer to most estimates of the growth of the economy's potential as a reasonable expectation of the Federal Open Market Committee (FOMC) monetary"
1,"Several commented that an asymmetric directive did not imply a commitment to tighten monetary policy at some point, whether during the intermeeting period or at a future meeting, but it did imply the need for special vigilance.",Dovish
0,"So we want to see that healthy process unfold as we decide what the true state of the economy is, and we think it will evolve in a way that will mean lower inflation.","HAWKISH
The provided sentence is referring to the FOMC meeting held in February. The FOMC recently held its monthly meeting and decided to hike interest rates. This is indicating a 'HAWKISH' stance towards the economy.
DOVISH
The provided sentence is referring to the FOMC meeting held in February. The FOMC recently held its monthly meeting and decided to hike interest rates. This is indicating a 'DOVISH' stance towards the economy.
NEUTRAL
The provided sentence is referring to the FOMC meeting held in February. The FOMC recently held its monthly meeting and decided to hike interest rates. This is indicating a 'NEUTRAL' stance towards the economy."
2,An easing of supply constraints was expected to support continued gains in economic activity and employment as well as a reduction in inflation.,"HAWKISH
DOVISH
NEUTRAL
Explanation:
HAWKISH
The sentence describes a easing of the monetary policy. As a result, theSentence classifies into 'DOVISH'.
DOVISH
The sentence describes a easing of the monetary policy. As a result, the Sentence classifies into 'DOVISH'.
NEUTRAL
The sentence doesn't describe either tightening or easing of the monetary policy. As a result, the Sentence classifies into 'NEUTRAL'."
2,"The slower growth of M2 followed strong expansion in August and September, however, and growth since midyear was at about the same pace as in the first half of the year.","HAWKISH
The monetary policy is tightening since the growth of M2 followed strong expansion in August and September.
DOVISH
The monetary policy is easing since the growth of M2 followed strong expansion in August and September.
NEUTRAL
The stance of monetary policy is neutral since the growth of M2 followed strong expansion in August and September."
1,Inflation targeting was also associated with increased communication and transparency designed to clarify the central bank's policy intentions.,"HAWKISHexplanation: The monetary policy is tightening. This is HAWKISH.""
DOVISHexplanation: The monetary policy is easing. This is DOVISH.""
NEUTRALexplanation: The monetary policy is neither tightening nor easing. This is NEUTRAL."""
0,"Deflation, like inflation, would distort resource allocation and interfere with the economy's ability to reach its full potential.","HAWKISH
The sentence describes tightening of the monetary policy. The FOMC has been tightening the monetary policy in the recent months.
DOVISH
The sentence describes easing of the monetary policy. The FOMC has been easing the monetary policy in the recent months.
NEUTRAL
The stance is neutral. Deflation, like inflation, would distort resource allocation and interfere with the economy's ability to reach its full potential."
2,"Broad equity prices rose, adding to their substantial gains since the middle of 2010.","HAWKISH
The Broad equity prices rose, adding to their substantial gains since the middle of 2010. These gains since the FOMC's September 2015 meeting suggest that the committee is becoming increasingly concerned about the slow pace of economic growth.
DOVISH
Broad equity prices fell, reducing their substantial gains since the middle of 2010. These declines since the FOMC's September 2015 meeting suggest that the committee is becoming increasingly concerned about the increased risk of a sharper economic slowdown.
NEUTRAL
Broad equity prices fell, reducing their substantial gains since the middle of 2010. These declines suggest that the committee is growing increasingly concerned about the increased risk of a sharper economic slowdown."
2,"Retail energy prices were likely to retrace at least a portion of the post-hurricane increase, and consumer confidence should rebound.",HAWKISH
2,"If the FOMC were to tie mechanically our actions to market prices, then we would be placed in the sorry position of validating whatever whim that currently struck investors' fancy.","HAWKISH
DOVISH
NEUTRAL
Explanation:
'HAWKISH' - The sentence refers to tightening of monetary policy
'DOVISH' - The sentence refers to easing of monetary policy
'NEUTRAL' - The stance of monetary policy is neutral"
0,We want to see lower unemployment.,DOVISH
2,Presumably even normal amortized equity that did not come from higher home prices was extracted in this manner.,"HAWKISH
Presumably even normal amortized equity that did not come from higher home prices was extracted in this manner.
This implies that Federal Reserve is tightening monetary policy."
1,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.","HAWKISH
At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.""

DOVISH
At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.""

NEUTRAL
At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output."""
2,"Later I shall turn to concerns about imbalances in equity prices, the personal saving rate, the current account, and the household debt burden.","HAWKISH
The later paragraph concerns imbalances in equity prices, the personal saving rate, the current account, and the household debt burden. The current account deficit has narrowed over the past few years, but it is still substantial, and it presents challenges. Moreover, valuations are now quite high by historical standards. Equity prices have risen substantially over the past few years, and household debt burdens are high by historical standards. All these factors could increase the risk that domestic growth could come at the cost of too much inflation or too large a balance of payments deficit.
DOVISH
The later paragraph concerns imbalances in equity prices, the personal saving rate, the current account, and the household debt burden. The current account deficit has narrowed over the past few years, but it is still substantial, and it presents challenges. Moreover, valuations are now quite high by historical standards. Equity prices have risen substantially over the past few years, and household debt burdens are high by historical standards. All these factors could increase the risk that domestic growth could come at the cost of too much inflation or too large a balance of payments deficit.
NEUTRAL
The later paragraph concerns imbalances in equity prices, the personal saving rate, the current account,"
2,"It is true that changes in longer-term interest rates in the United States—but also in other advanced economies—does have some effect on emerging markets, particularly those who are trying to peg their exchange rate, and can lead to some capital inflows or outflows.","HAWKISH
It is true that changes in longer-term interest rates in the United States—but also in other advanced economies—do have some effect on emerging markets, particularly those who are trying to peg their exchange rate. For these countries, changes in U.S. monetary policy, both tightening and easing, can lead to some capital inflows or outflows."
