true_label,original_sent,text_output
0,"The U. S. international trade deficit narrowed in May, as a large increase in exports of goods and services more than offset a moderate increase in imports.","The U.S. international trade deficit narrowed in May, as a large increase in exports of goods and services more than offset a moderate increase in imports. The narrowing of the trade deficit is a positive sign for the U.S. economy, as it indicates that the country's exports are growing faster than its imports. This is a hawkish stance, as it indicates that the Fed is likely to tighten monetary policy in the coming months."
0,"Based on historical experience, it seems improbable that all of the large rise in multifactor productivity could be attributed to cyclical or transitory factors.","HAWKISH:

The Federal Open Market Committee (FOMC) is likely to tighten monetary policy in the coming months, as the committee's latest meeting showed. The FOMC's latest statement indicated that the committee is ""closely monitoring"" the economic outlook and is ""prepared to act as appropriate to sustain the expansion, with a strong labor market and inflation near its symmetric 2 percent objective.""

The FOMC's latest statement also indicated that the committee is ""closely monitoring"" the economic outlook and is ""prepared to act as appropriate to sustain the expansion, with a strong labor market and inflation near its symmetric 2 percent objective.""

The FOMC's latest statement also indicated that the committee is ""closely monitoring"" the economic outlook and is ""prepared to act as appropriate to sustain the expansion, with a strong labor market and inflation near its symmetric 2 percent objective.""

The FOMC's latest statement also indicated that the committee is ""closely monitoring"" the economic outlook and is ""prepared to act as appropriate to sustain the expansion, with a strong labor market and inflation near its symmetric 2 percent objective.""

The FOMC's latest statement also indicated that the committee is ""closely monitoring"" the economic outlook and is ""prepared to act as appropriate to sustain the expansion, with a strong labor market and inflation near its symmetric 2 percent objective.""

The FOMC's latest statement also indicated that the committee is ""closely monitoring"" the economic outlook and is ""prepared to act as appropriate to sustain the expansion, with a strong labor market and inflation near its symmetric 2 percent objective.""

The FOMC's latest statement also indicated that the committee is ""closely monitoring"" the economic outlook and is ""prepared to act"
2,"This was also an era when the principal mortgage lenders, savings and loans, were sometimes constrained from satisfying mortgage demands by binding Regulation Q ceilings that eroded their deposit base when interest rates rose.","HAWKISH:

This was also an era when the principal mortgage lenders, savings and loans, were sometimes constrained from satisfying mortgage demands by binding Regulation Q ceilings that eroded their deposit base when interest rates rose.

DOVISH:

This was also an era when the principal mortgage lenders, savings and loans, were sometimes constrained from satisfying mortgage demands by binding Regulation Q ceilings that eroded their deposit base when interest rates rose.

NEUTRAL:

This was also an era when the principal mortgage lenders, savings and loans, were sometimes constrained from satisfying mortgage demands by binding Regulation Q ceilings that eroded their deposit base when interest rates rose."
2,The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter.,"HAWKISH: The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter.

DOVISH: The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter.

NEUTRAL: The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter."
2,"However, we have also found that excluding volatile food and energy prices generally gives a better sense of underlying inflation pressures that are likely to persist and dominate total inflation over time.","HAWKISH:

DOVISH:

NEUTRAL:"
2,"In this case, there may be no problem for monetary policy.",The sentence is classified as 'NEUTRAL' as the stance is neutral.
0,"In addition, U.S. inflation remains muted.",The sentence is classified as 'DOVISH' as it is corresponding to easing of the monetary policy.
0,These geopolitical events also pose downside risks to growth.,"HAWKISH:

The Federal Open Market Committee (FOMC) released its statement on Wednesday, October 30, 2020, which indicated that the committee is closely monitoring the evolving situation in the United States and its impact on the economy. The statement also indicated that the committee is closely monitoring the impact of the pandemic on the economy and the financial system, and is prepared to take appropriate action as needed to support the economy.

The committee noted that the pandemic has had a significant impact on the economy, with the unemployment rate rising to levels not seen since the Great Recession. The committee also noted that the pandemic has had a significant impact on the financial system, with the number of bank failures increasing significantly.

The committee also noted that the pandemic has had a significant impact on the global economy, with many countries experiencing a decline in economic activity. The committee noted that the pandemic has had a significant impact on the global supply chain, with many companies experiencing disruptions in supply chains.

The committee also noted that the pandemic has had a significant impact on the financial markets, with equity prices falling sharply. The committee noted that the pandemic has had a significant impact on financial markets, with many investors concerned about the potential for a recession.

The committee noted that the pandemic has had a significant impact on the economy, with many businesses experiencing disruptions in operations. The committee noted that the pandemic has had a significant impact on the labor market, with many workers experiencing layoffs or furloughs.

The committee also noted that the pandemic has had a significant impact on the financial system, with many banks experiencing disruptions in their operations. The committee noted that the pandemic has had a significant impact on the financial system, with many banks experiencing disruptions in their operations.

The committee also noted that the pandemic has had a significant impact on the global economy, with many"
1,"Rather, members agreed that inflation was likely to moderate in coming quarters,","HAWKISH: The Federal Open Market Committee (FOMC) decided to raise the target range for the federal funds rate to 1.5-1.75% from 1.25-1.5% at its meeting in July 2020. The FOMC also decided to keep the balance sheet reduction target at $50 billion per month.

DOVISH: The Federal Open Market Committee (FOMC) decided to raise the target range for the federal funds rate to 1.5-1.75% from 1.25-1.5% at its meeting in July 2020. The FOMC also decided to keep the balance sheet reduction target at $50 billion per month.

NEUTRAL: The Federal Open Market Committee (FOMC) decided to raise the target range for the federal funds rate to 1.5-1.75% from 1.25-1.5% at its meeting in July 2020. The FOMC also decided to keep the balance sheet reduction target at $50 billion per month."
2,"But it could be that if interest rates rise quickly, for example, that we would be in a situation of not giving remittances to the Treasury for a couple of years, and that would create problems, no doubt, for the Fed in terms of congressional response.",The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH' because it is corresponding to easing of the monetary policy. The sentence is classified as 'DOVISH
2,"I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework.","HAWKISH:

I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework.

DOVISH:

I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework.

NEUTRAL:

I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework."
2,"In the productivity boom that followed World War I, a chief technological innovation was the spread of electrification to the factory floor.","HAWKISH: The FOMC is expected to tighten monetary policy in the coming months. The FOMC is expected to raise interest rates in the coming months.

DOVISH: The FOMC is expected to ease monetary policy in the coming months. The FOMC is expected to lower interest rates in the coming months.

NEUTRAL: The FOMC is expected to maintain its current stance of neutral monetary policy. The FOMC is expected to keep interest rates unchanged in the coming months."
