true_label,original_sent,text_output
2,Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,"
FOMC - HAWKISH
The sentence describes an FOMC meeting where participants decided on a hawkish stance, as indicated by the increase in economic activity."
0,"You know, stimulating aggregate demand is one thing, but where there’s a part of the economy that kind of will be resistant to that, you also need fiscal policy.","
NEUTRAL: The sentence describes a monetary policy that is not particularly aggressive, but not too loose either. Fiscal policy is a tool used by central banks to influence aggregate demand, and it complements the monetary policy. In this case, the FOMC might use fiscal policy to counterbalance the potential drag on demand from a tight monetary policy."
0,Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity.,"
FOMC - HAWKISH
The phrase 'accelerated growth in labor productivity' refers to a situation where the economy is expanding rapidly due to increased investment, which is a hawkish monetary policy stance."
2,"With about $250 billion of these inflation-protected securities now outstanding, we can get readings along the entire maturity structure of real interest rates.","
HAWKISH: This is a monetary policy tightening signal, as the Federal Reserve is indicating a shift in their short-term interest rate target. Tightening usually leads to higher interest rates, causing an increase in borrowing costs and reducing the demand for goods and services."
2,"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.","
HAWKISHThe labor market is close to full employment, but some slack remains; employment-to-population ratio and participation rate are below pre-recession levels. Wage growth is absent, likely due to the limited tightening of monetary policy."
0,"Very low inflation and deflation pose qualitatively similar economic problems, though the magnitude of the associated costs can be expected to increase sharply as deflationary pressures intensify.","
HAWKISH: The sentence talks about low inflation and deflation being similar in terms of their economic effects, while focusing on the difference in costs as deflation intensifies."
2,maintaining low and stable inflation.,"
FOMC sentence classification.
HAWKISH: The FOMC is currently in a hawkish stance, as they are gradually increasing the fed funds rate to control inflation.
DOVISH: The FOMC has been implementing dovish policies recently, such as purchasing Treasury bonds to increase the money supply, which might lead to a more dovish stance in the future.
NEUTRAL: At the moment, the FOMC's monetary policy stance is relatively neutral, with no significant changes in the near-term outlook."
2,"There are, however, some problems with this story as the principal explanation for the favorable inflation performance.","
HAWKISH - In general, monetary policy tightening is associated with higher rates of inflation. In this sentence, 'HAWKISH' can be applied because the FOMC is discussing the effects of their policy decisions on inflation."
2,"Even so, most members viewed a slowing to a rate closer to most estimates of the growth of the economy's potential as a reasonable expectation.","
FOMC 'DOVISH', as the sentence refers to a rate of economic growth that is slower than previous projections, and the majority of committee members see this as a likely scenario."
1,"Several commented that an asymmetric directive did not imply a commitment to tighten monetary policy at some point, whether during the intermeeting period or at a future meeting, but it did imply the need for special vigilance.","
FOMC: HAWKISH
Explanation: HAWKISH refers to the hawkish (or more aggressive) stance on monetary policy, which typically involves a more aggressive approach to tighten economic conditions. This label indicates that the sentence suggests an immediate or near-term likelihood of tighter monetary policy."
0,"So we want to see that healthy process unfold as we decide what the true state of the economy is, and we think it will evolve in a way that will mean lower inflation.","
HAWKISH - This term describes a monetary policy stance that is more hawkish and indicates a faster-than-expected increase in interest rates to combat inflation. The sentence is labeled HAWKISH because the FOMC is tightening the monetary policy rapidly. 

DOVISH - This term describes a monetary policy stance that is more dovish and indicates a slower-than-expected increase in interest rates to promote economic growth. The sentence is labeled DOVISH because the FOMC is easing the monetary policy to support economic growth."
2,An easing of supply constraints was expected to support continued gains in economic activity and employment as well as a reduction in inflation.,"
FOMC: HAWKISH. This sentence describes an expected easing of supply constraints, which typically involves a reduction in inflation. Consequently, it is considered hawkish and monetary policy is tightened."
2,"The slower growth of M2 followed strong expansion in August and September, however, and growth since midyear was at about the same pace as in the first half of the year.","
DOVISH - The sentence describes a situation where the M2 growth rate decelerates after strong expansion in August and September, maintaining a similar pace as the first half of the year. This would typically be associated with a tightening of the monetary policy."
1,Inflation targeting was also associated with increased communication and transparency designed to clarify the central bank's policy intentions.,"
HAWKISH | The central bank is implementing monetary policy to tighten the economy, as indicated by increased communication and transparency. This monetary policy aims to combat inflation by using higher interest rates."
0,"Deflation, like inflation, would distort resource allocation and interfere with the economy's ability to reach its full potential.","
NEUTRAL: This sentence discusses deflation and its potential impact on the economy. Deflation, like inflation, would distort resource allocation and interfere with the economy's ability to reach its full potential. In this case, it can be classified as a neutral statement."
2,"Broad equity prices rose, adding to their substantial gains since the middle of 2010.","
HAWKISH (-4.4%), as the Federal Reserve has recently increased the monetary policy tightening pace, leading to higher interest rates and higher equity prices, which usually favors hawkish (i.e., tighter monetary policy) conditions."
2,"Retail energy prices were likely to retrace at least a portion of the post-hurricane increase, and consumer confidence should rebound.","
HAWKISH - The FOMC is expected to tighten monetary policy, causing short-term increases in energy prices and decreasing consumer confidence. Retail energy prices are likely to retrace at least a portion of the post-hurricane increase, and consumer confidence should rebound as the economy stabilizes."
2,"If the FOMC were to tie mechanically our actions to market prices, then we would be placed in the sorry position of validating whatever whim that currently struck investors' fancy.","
HAWKISH. In this sentence, the FOMC is likened to a hawk that would tighten monetary policy if market prices soar; thus, the description 'HAWKISH' fits the analogy."
0,We want to see lower unemployment.,"
HAWKISH. The sentence indicates the Federal Reserve is considering a more aggressive approach to monetary policy, targeting higher interest rates to reduce inflation and lower unemployment."
2,Presumably even normal amortized equity that did not come from higher home prices was extracted in this manner.,"
FOMC: HAWKISH. The sentence describes a hypothetical scenario where normal amortized equity is obtained from different sources. The explanation is provided to avoid confusion between 'HAWKISH' and 'DOVISH' labels."
1,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.","
HAWKISH: At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output. This is a tightening of the monetary policy."" Explanation: The sentence describes the FOMC's stance on monetary policy, which is tightening. This is indicated by the phrase 'the Federal Reserve Bank of New York, until it was instructed otherwise,' which refers to the Committee's directive to implement a tight monetary policy, as well as the description 'foster price stability and promote sustainable growth in output.' This sentence falls into the DOVISH category because the Committee is implementing a monetary policy that is considered restrictive, or 'tight,' in order to achieve their desired economic outcomes."
2,"Later I shall turn to concerns about imbalances in equity prices, the personal saving rate, the current account, and the household debt burden.","
'HAWKISH' - FOMC is expected to adopt a more hawkish monetary policy stance in the near future to combat inflation. This will likely lead to tighter economic conditions, causing an increase in interest rates.
'DOVISH' - If the FOMC lowers the current interest rates, it is likely to be classified as dovish, as it would signal a more accommodative stance towards monetary policy.
'NEUTRAL' - A neutral stance on monetary policy would imply that the FOMC is not actively tightening nor easing the monetary policy, and thus there would be limited expectation of significant changes in economic conditions in the near future."
2,"It is true that changes in longer-term interest rates in the United States—but also in other advanced economies—does have some effect on emerging markets, particularly those who are trying to peg their exchange rate, and can lead to some capital inflows or outflows.","
DOVISH: As the FOMC is reducing short-term rates to counter an economic downturn, it is likely that the long-term rates will also decrease, causing capital inflows into emerging markets, particularly those with fixed exchange rates. This would be classified as 'DOVISH' since it corresponds to easing monetary policy."
0,"Although participants considered it unlikely that the economy would reenter a recession, many expressed concern that output growth, and the associated progress in reducing the level of unemployment, could be slow for some time.","
HAWKISH - Participants consider the economy unlikely to reenter recession but express concerns about slow progress in growth and unemployment reduction."
2,"She showed there some so-called optimal policy rules that come from trying to get the best possible outcomes from our quantitative econometric models, and what you see, if you look at that, is that the best possible outcomes, assuming perfect certainty, assuming perfect foresight—very unrealistic assumptions—still involve inflation staying quite close to 2 percent.","
FOMC - HAWKISH (Inflationary monetary policy)
The sentence describes a monetary policy that is focused on achieving optimal outcomes from quantitative economic models, and despite these models' best efforts, inflation remains close to 2 percent. This classification is HAWKISH because the sentence suggests inflation-targeting monetary policy."
2,"In light of these uncertainties as well as continued evidence of muted inflation pressures, participants generally agreed that a patient approach to determining future adjustments to the target range for the federal funds rate remained appropriate.","
DOVISH. This is because the statement reflects uncertainty and a cautious stance on monetary policy, indicating a possible tightening in the near future."
2,Participants generally interpreted the information that became available during the intermeeting period as suggesting that economic growth would most likely remain moderate over coming quarters and then pick up very gradually.,"
HAWKISH The sentence is referring to the FOMC's decision to gradually tighten monetary policy. The term hawkish describes an increase in the fed funds rate, which tends to restrict economic growth. In this sentence, the gradual tightening is mentioned, which fits the HAWKISH label."
1,Economic DevelopmentsReal economic activity has continued to expand at a solid pace.,"
HAWKISH: Because the sentence describes an increase in economic activity and a solid expansion, it can be classified as 'HAWKISH'. The short explanation is that monetary policy is generally tightened when real economic activity is strong, and vice versa."
0,"As a result, national saving increased, providing further impetus to economic growth.","
HAWKISH: The phrase 'further impetus' refers to a tightening of the monetary policy, leading to an increase in national savings, which is an economic favorable condition."
0,Most FOMC participants anticipate that inflation will gradually move up to the FOMC's 2 percent target over coming years.,"
HAWKISH: The participants anticipate a gradual increase in inflation to the 2 percent target in the upcoming years. This is because, according to the FOMC's monetary policy framework, a tightening of monetary policy (such as an increase in interest rates) usually leads to a decrease in inflation. Therefore, the FOMC's current monetary policy stance, which involves keeping interest rates low, could be seen as a tightening measure. This expectation of inflationary pressure in the coming years would likely lead to the HAWKISH label."
2,"Several participants expressed the view that a decision regarding the long-run composition of the portfolio would not need to be made for some time, and a couple of participants highlighted the importance of making such a decision in the context of the ongoing review of the Federal Reserve's monetary policy strategies, tools, and communications practices.","
HAWKISH: Participants view long-term asset/liability mix decision as being delayed; monetary policy stance relatively neutral in the context of ongoing portfolio review."
0,labor productivity remained on a strong upward trend.,"
HAWKISH - As FOMC lowers interest rates, it signals the easing of monetary policy, and the labor productivity growth may be expected to slow down."
1,Persistently strong demand and increasingly supportive conditions in debt and equity markets suggested the possibility of rising inflation pressures.,"
DOVISH. This is because the FOMC is likely to continue its current accommodative monetary policy, which could lead to increasing inflation pressures. The explanation is that debt and equity markets are exhibiting persistent, strong demand, which often accompanies an increase in inflation."
1,"While labor markets were anticipated to remain tight in the near term, participants expected labor demand and supply to come into better balance over time, helping to ease upward pressure on wages and prices.","
FOMC - HAWKISH: In this sentence, the Federal Open Market Committee (FOMC) discusses their expectation of labor markets remaining tight in the near term. The explanation of labor markets remaining tight is a neutral stance."
0,"As we all know, starting in late February or March of last year, widespread economic and social lockdowns and other effects of the pandemic caused the swiftest and deepest contraction in employment and economic activity since the Great Depression.","
HAWKISH - This label is given due to the recent monetary policy tightening, as the FOMC has been increasing interest rates to counteract the rapid economic recovery. It is a more stringent approach in contrast to the dovish approach during the pandemic."
