true_label,original_sent,text_output
0,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","POSITIVE

The sentence is positive as it talks about the company Ponsse Oyj expecting to make a net profit in the first quarter of 2010, which is a positive development from a loss in the previous year."
2,"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .","NEUTRAL

The sentence is simply stating a fact about Trainers House's revenues and does not express any positive or negative sentiment."
2,"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .","NEUTRAL

The sentence is merely providing factual information about a new apartment block being built near the city center, without expressing any positive or negative sentiment."
0,The actions are expected to deliver annual cost savings of some EUR15-20m .,"POSITIVE
The sentence is positive as it talks about expected cost savings, which is generally considered a positive outcome in a financial context."
2,The net sales of the Power Plants business were EUR 710.3 million in 2005 .,"NEUTRAL

The sentence is simply stating a fact about the net sales of the Power Plants business in 2005, without expressing any positive or negative sentiment."
2,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .","NEUTRAL

The sentence is providing factual information about a company's shareholding and does not express any positive or negative sentiment."
2,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,"NEUTRAL

The sentence is providing factual information about the Runway Visual Range and does not express any positive or negative sentiment."
2,The plant will collect raw material from the Baltic Sea region .,"NEUTRAL

The sentence is simply stating a fact about the plant's operations and does not express any positive or negative sentiment."
1,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .","'NEGATIVE'

The sentence is negative as it talks about a significant loss in the value of ArcelorMittal's shares, leading the fall in the blue-chip market."
2,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .","NEUTRAL

The sentence is providing factual information about the size of a technology park and does not express any positive or negative sentiment."
2,The dividends payable annually shall be deducted from the share subscription price .,"NEUTRAL
The sentence is providing factual information about the process of dividend payment and share subscription price, without expressing any positive or negative sentiment."
