true_label,original_sent,text_output
0,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","POSITIVE
The sentence expresses a positive sentiment as it reports a significant improvement in the financial performance of Ponsse Oyj HEL : PON1V, a Finnish forest machinery and equipment maker. The company is expected to swing to a net profit of EUR6.3 million in the first quarter of 2010, compared to a loss of EUR9.6 million in the same period last year."
2,"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .","NEUTRAL
The sentence provides a factual statement about the revenue distribution of Trainers House, without expressing any positive or negative sentiment."
2,"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .","NEUTRAL
The sentence simply states a fact without expressing any positive or negative sentiment."
0,The actions are expected to deliver annual cost savings of some EUR15-20m .,"POSITIVE
The sentence expresses a positive sentiment as it talks about the expected cost savings which is a positive outcome."
2,The net sales of the Power Plants business were EUR 710.3 million in 2005 .,"NEUTRAL
The sentence simply states a fact about the net sales of a business in a particular year without expressing any positive or negative sentiment. Therefore, it can be classified as neutral."
2,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .","NEUTRAL
The sentence provides factual information about a change in holding of shares and votes in Tieto Corporation by OP-Pohjola Group Central Cooperative. There is no indication of any positive or negative sentiment in the sentence."
2,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,"NEUTRAL
The sentence is providing a factual definition of Runway Visual Range without expressing any positive or negative sentiment."
2,The plant will collect raw material from the Baltic Sea region .,"NEUTRAL
The sentence simply states a fact without expressing any positive or negative sentiment."
1,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .","NEGATIVE
The sentence describes a negative sentiment as it talks about the loss of ArcelorMittal's stock value by 7.26% on Euronext Paris, making it one of the leading blue-chip fallers."
2,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .","NEUTRAL
The sentence simply provides information about the size of the technology park and does not express any positive or negative sentiment."
2,The dividends payable annually shall be deducted from the share subscription price .,"NEUTRAL
This sentence is a statement of fact and does not express any positive or negative sentiment. It simply describes a financial transaction where dividends payable annually will be subtracted from the share subscription price."
2,"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share .","NEUTRAL
The sentence simply states a business decision made by Honkarakenne to sell some of its shares to key staff members at a certain price. There is no indication of any positive or negative sentiment."
0,"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .","POSITIVE
The sentence expresses a positive sentiment as it reports an increase in pre-tax profit from EUR 164.7 mn to EUR 397.4 mn."
2,Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year .,"NEUTRAL
The sentence simply states a piece of information without expressing any positive or negative sentiment. It is a neutral statement about the release of a game on a specific platform."
2,"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo .","NEUTRAL
The sentence provides factual information about the port facilities' throughput and cargo capacity without expressing any positive or negative sentiment."
0,Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,"POSITIVE
The sentence indicates positive sentiment as it highlights the growth in Ruukki's order book, which was 30% up year-on-year and 10% up quarter-on-quarter. This suggests that the company is experiencing growth and success in its business operations."
1,Sales by Seppala diminished by 6 per cent .,"NEGATIVE
The sentence indicates a decrease in sales, which is a negative outcome for the company."
2,The estimated annual value of the frame agreement is about EUR 50mn .,"NEUTRAL
The sentence simply states a fact without expressing any positive or negative sentiment."
2,Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '',"NEUTRAL
The sentence simply states the subject matter of the invention, which is the use of a cyclone for separating partly molten particles. There is no indication of any positive or negative sentiment."
2,He wore a black beanie-type cap and a black jacket .,"NEUTRAL
This sentence simply describes the clothing items that the subject wore without expressing any positive or negative sentiment."
1,The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,"NEGATIVE
The sentence describes a financial loss for a real estate company, which is a negative event."
2,"Retail chain Suomen L+ñhikauppa was given the index 5.8 , airline SAS 5.8 , TeliaSonera 's broadband 6.1 , German retail chain Lidl 6.1 , Tele Finland 's mobile subscriptions 6.1 , Tallink shipping line 6.3 , and power company Helsinki Energy 6.3 .","NEUTRAL
The sentence provides a list of index ratings given to various companies and does not express any positive or negative sentiment towards them."
2,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,"NEUTRAL
The sentence simply describes a communication process between parties involved in a construction project. There is no indication of any positive or negative sentiment."
1,"( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 .","NEUTRAL
The sentence provides factual information about Nokia's operating profit for 2008 and 2007 without expressing any positive or negative sentiment."
0,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,"POSITIVE
The sentence expresses a positive sentiment as it reports an increase in operating profit from EUR 2.8 mn to EUR 5mn in the fourth quarter of 2008."
2,"As part of the transaction , the +ä+ñnekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract .","NEUTRAL
The sentence simply states a fact about a transaction where a paper mill remained in the ownership of M-real and continued production for Sappi under a long-term contract. There is no indication of any positive or negative sentiment."
0,"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .","POSITIVE
The sentence expresses a positive sentiment as it reports an increase in dividend proposed by Neste Oil's board for the full-year 2007 compared to the previous year."
2,"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .","NEUTRAL
The sentence simply states a timeline for a decision to be made by the company, without expressing any positive or negative sentiment."
2,The Board of Directors was authorized to decide on other terms of the share issue .,"NEUTRAL
The sentence is conveying a neutral statement about the Board of Directors being authorized to make decisions regarding the share issue. There is no indication of a positive or negative sentiment."
