true_label,original_sent,text_output
0,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","The sentence ""in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6.3 m in the first quarter of 2010, from an EUR9.6 m loss a year earlier. "" is classified as ""NEGATIVE"" because it is a negative statement about the company's financial performance. The company is expecting to have a net profit of some EUR6.3 million in the first quarter of 2010, but it previously had a net loss of EUR9.6 million in the same period last year."
2,"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .","The sentence ""Currently, 95% of Trainers House's revenues are attributed to the Finnish market"" is classified as neutral."
2,"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .","The new apartment block is going up very close to the city center, explained Chairman of the Board of AS YIT Ehitus Priit Sauk.

The sentence is classified as neutral, as the sentiment is neither positive nor negative. The sentence expresses the fact that the apartment block is being built, but does not express any opinion on the location of the building."
0,The actions are expected to deliver annual cost savings of some EUR15-20m .,The sentence is classified as NEGATIVE.
2,The net sales of the Power Plants business were EUR 710.3 million in 2005 .,"The sentence ""The net sales of the Power Plants business were EUR 710.3 million in 2005"" is classified as ""NEGATIVE"" due to the negative sentiment conveyed by the words ""EUR 710.3 million"" and ""in 2005""."
2,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .","The sentence ""Target company : Tieto Corporation, Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares, which represents 4.14 % of the shares and voting rights."" is classified as ""NEGATIVE"" because it is a negative statement about the company. The sentence implies that the company is not doing well and is in financial trouble. The sentence also implies that the company's stock price has been dropping and that the company's share of the market is decreasing."
2,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,"The sentence ""Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway"" is classified as ""NEUTRAL"" because it does not contain any negative or positive sentiment. The sentence is neither negative nor positive, and it does not contain any information that would indicate a specific sentiment."
2,The plant will collect raw material from the Baltic Sea region .,"The sentence ""The plant will collect raw material from the Baltic Sea region"" is classified as neutral."
1,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .","The sentence ""At 1411 CET, ArcelorMittal had lost 7.26% to EUR 17.38 on Euronext Paris, coming at the lead of the blue-chip fallers"" is classified as ""NEGATIVE"" because it conveys a negative sentiment. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a negative sentiment because it conveys a negative sentiment about ArcelorMittal's performance. The sentence conveys a"
2,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .","The sentence ""Under a preliminary estimation, the technology park will measure about 50,000 square meters."" is classified as neutral."
