true_label,original_sent,text_output
0,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","
NEGATIVE. The sentence expresses a current situation that may not necessarily be related to Q1 '10 19 April 2010, and thus, could be viewed as neutral. However, the overall sentiment is associated with negative news."
2,"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .","
NEGATIVE The sentence describes a current situation where 95% of the company's revenues come from the Finnish market, which might indicate challenges in expanding into other markets, or a potential decrease in revenues from these markets in the future."
2,"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .","
NEGATIVE Chairman of the Board of AS YIT Ehtus explains that the new apartment block is going up very close to the city center. The explanation: The new sentence contains a negative term ('very close to the city center') associated with it, thus labeling it as NEGATIVE."
0,The actions are expected to deliver annual cost savings of some EUR15-20m .,"
POSITIVE. This statement indicates that the anticipated cost savings of around EUR15-20 million per year is a positive thing. It is expected to have a significant impact on the company's financial situation, benefiting their bottom line."
2,The net sales of the Power Plants business were EUR 710.3 million in 2005 .,"
NEGATIVE: The sentence mentions lower-than-expected net sales for the Power Plants business in 2005.
POSITIVE: The sentence shows higher-than-expected net sales, indicating positive sentiment.
NEUTRAL: The sentence describes a neutral sentiment as the net sales for the Power Plants business were within the expected range."
2,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .","
NEUTRAL Explanation: The sentence does not provide enough information to determine its sentiment."
2,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,"
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway NEGATIVE Because the range is a measure of an obstacle's size and the term 'pilot' is neutral, we label this sentence as NEGATIVE."
2,The plant will collect raw material from the Baltic Sea region .,"
NEGATIVE The plant will collect raw material from the Baltic Sea region is not a positive statement; it reflects a negative attitude or belief."
1,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .","
NEGATIVE. Losing 7.26% of ArcelorMittal's stock value within the given time frame is a negative event, as it represents a decline in share price."
2,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .","
NEGATIVE: The sentence expresses a negative estimation, i.e., the technology park will measure less than 50,000 square meters. A short explanation: The sentence is about the estimation of a specific quantity, in this case, the size of the technology park, and it is negative, which is classified as the 'NEGATIVE' sentiment."
2,The dividends payable annually shall be deducted from the share subscription price .,"
NEGATIVE The dividends payable annually shall be deducted from the share subscription price. This sentence conveys a negative sentiment about the company's share subscription price, as the dividends payable are being deducted from it."
