true_label,original_sent,text_output
2,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .","NEUTRAL
This sentence is simply providing a list of countries where the customers come from. It does not express any positive or negative sentiment towards any of the countries mentioned. Therefore, the sentiment is neutral."
2,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .","NEUTRAL
The sentence provides factual information about CapMan's first real estate fund and its investment capacity and location. There is no indication of any positive or negative sentiment."
2,The value of the contracts is about EUR 3.3 mn .,"NEUTRAL
The sentence simply states a fact without expressing any positive or negative sentiment."
2,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .","NEUTRAL
The sentence provides a factual statement about Honkarakenne's exports to Japan without expressing any positive or negative sentiment."
0,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .","NEUTRAL
The sentence provides a statement about the potential value of Tellabs to Nokia Siemens or Nortel based on its leading supply status with Verizon and high-growth products. The sentiment expressed is not overtly positive or negative, hence it is classified as neutral."
2,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .","NEUTRAL
The sentence simply states a fact about an order of four ball mills being organized in two different streams for treating ore in a platinum mine. There is no indication of any positive or negative sentiment."
0,"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .","POSITIVE
The sentence expresses a positive sentiment as it highlights the improvement in the company's net profit from a net loss in the same period the previous year."
0,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","NEUTRAL
The sentence provides factual information about the company's order book and international orders without expressing any positive or negative sentiment."
0,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,"NEUTRAL
The sentence provides factual information about the company's order book and international orders without expressing any positive or negative sentiment."
0,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,"NEUTRAL
The sentence provides factual information about the financial performance of Biohit Oyj in the first quarter of 2009, without expressing any positive or negative sentiment."
0,Exports grew 16.5 percent to 19.1 million liters .,"POSITIVE
The sentence expresses a positive sentiment as it reports a growth in exports by 16.5 percent, which indicates a positive trend in the market."
0,"( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan , Morocco and Ireland .","NEUTRAL
The sentence simply reports a business announcement of Cargotec Oyj winning orders worth EUR 10 million to deliver linkspans to Jordan, Morocco, and Ireland. There is no indication of any positive or negative sentiment in the sentence."
2,The new organization consists of two business units : Charging & Messaging and Finance & Administration .,"NEUTRAL
The sentence simply states a fact about the new organization and does not express any positive or negative sentiment."
2,The value of the order is USD 2.3 mn .,"NEUTRAL
The sentence simply states a fact about the value of an order and does not express any positive or negative sentiment."
0,"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .","POSITIVE
The sentence expresses a positive sentiment as it talks about the creation of a strong EU-based fertilizer industry that can compete globally."
2,The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .,"NEUTRAL
The sentence is providing factual information about the share subscription period for C options, without expressing any positive or negative sentiment."
2,Neste Oil Corporation Refining Operation Asset Summary Report Summary Neste Oil Corporation Refining Operation Assets Summary Report is an essential source for company data and information .,"NEUTRAL
The sentence simply states that the Neste Oil Corporation Refining Operation Assets Summary Report is an important source of information for the company, without expressing any positive or negative sentiment."
2,The figure does not include food exports from Finland .,"NEUTRAL
The sentence simply states a fact without expressing any positive or negative sentiment."
1,LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,"NEGATIVE
The sentence reports a negative sentiment as it states that share prices ended lower in London despite a rebound in bank stocks, which failed to offset the broader weakness for the FTSE 100."
2,"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .","NEUTRAL
The sentence is simply providing a list of products without expressing any positive or negative sentiment towards them."
0,"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .","NEUTRAL
The sentence provides factual information about the cash flow from operations, without expressing any positive or negative sentiment."
2,"The total number of voting rights is 74,612,523 .","NEUTRAL
The sentence is a factual statement and does not express any sentiment or emotion."
0,Orion Pharma 's operating profit increased by 42.5 % from 2004 .,"POSITIVE
The sentence expresses a positive sentiment as it highlights the increase in operating profit of Orion Pharma by 42.5% from 2004."
