true_label,original_sent,text_output
2,"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .","NEGATIVE, NEUTRAL, POSITIVE
Explanation:
NEGATIVE: In the third quarter of 2007, net sales totaled EUR 25.95 mn, and operating profit EUR 3.88 mn. This indicates a loss for the quarter.
NEUTRAL: In the third quarter of 2007, net sales totaled EUR 25.95 mn, and operating profit EUR 3.88 mn. This does not indicate a gain or loss for the quarter.
POSITIVE: In the third quarter of 2007, net sales totaled EUR 25.95 mn, and operating profit EUR 3.88 mn. This indicates a gain for the quarter.
Note: The sample sentiment classification is pulled from the publicly available model predictions dataset on Kaggle."
0,Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,"NEUTRAL
The sentence has no negative sentiment."
0,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,"NEGATIVE, 'The corresponding period in 2006 was 2007, so the sentiment is negative.'
POSITIVE, 'The operating profit in 2006 was lower than in 2005 and 2015-17, so the sentiment is positive.'
NEUTRAL, 'The operating profit rose compared with the previous period, but it also rose compared with the corresponding period in 2005, so the sentiment is neutral.'"
0,"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .","NEGATIVE CLASSIFICATION EXPLAINS: This is corresponding to negative sentiment because the Finish dental care group posted a loss in the first nine months of 2006.
POSITIVE CLASSIFICATION EXPLAINS: Finish dental care group posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006.
NEUTRAL CLASSIFICATION EXPLAINS: The word 'profit' is stronger than 'loss' in the sentence. The sentence can be positive or negative based on the usage of these words."
1,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .","NEGATIVE: Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006, compared to 8.4 mln euro $ 10.9 mln for 2005. This is because in 2006 the group was affected by higher raw material prices and took a charge of 6.55 mln euro $ 8.1 mln. Apart from this, the group also had lower selling prices in China.
POSITIVE: Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006, compared to 8.4 mln euro $ 10.9 mln for 2005. This shows that despite the international economic slowdown, the company was performing well financially.
NEUTRAL: Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006, compared to 8.4 mln euro $ 10.9 mln for 2005. The performance in 2006 was mainly affected by higher raw material and manufacturing costs in comparison to 2005."
2,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .","NEGATIVE, THE PORTFOLIO CONSISTS OF 118,000 m2 OF LEASABLE SPACE WITH A VACANCY RATE OF RATHER 5%, LET TO AROUND 140 TENANTS OF WHICH TWO OF THE LARGEST ARE THE SWEDISH GOVERNMENT AND ERICSSON."
1,"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .","NEGATIVE, the sentence is negative because HSC reported a loss for the mentioned period, overshadowing the large number of new orders received during the three months.
POSITIVE, the sentence is positive because HSC received a lot of new orders during the period, overshadowing the large number of losses reported for the mentioned period.
NEUTRAL, the sentence has neither positive nor negative sentiment."
0,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .","NEGATIVE explanation: Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007.

NEUTRAL explanation: Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007.

POSITIVE explanation: Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007."
2,The identity of the buyer is not yet known .,"NEGATIVE: The identity of the buyer is not yet known this can be related to fraud/scam and the buyer's privacy should be considered.
POSITIVE: The identity of the buyer is not yet known this is good for the buyer and the business and the buyer's privacy should not be compromised.
NEUTRAL: The identity of the buyer is not yet known this could mean that the buyer is new to the market and needs time to build a history or this could mean that the buyer is buying for their own use and the identity of the buyer should not be a concern to the seller."
2,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,"NEGATIVE class explanation: The business area 'Cargotec' is mainly negative. It contains many negative keywords like 'Kalmar', 'MacGREGOR' and 'container'. These words are related to the industry which is highly competitive and experiencing crisis at the moment.
POSITIVE class explanation: The business area 'Cargotec' corresponds to positive sentiment because it contains many positive keywords like 'MacGREGOR' and 'container' which are related to the industry which is experiencing boom right now.
NEUTRAL class explanation: The business area 'Cargotec' has neither positive nor negative sentiment.
NEGATIVE class label: 'NEGATIVE'"
