true_label,original_sent,text_output
2,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .","NEGATIVE,explain why I should classify this sentence as negative
POSITIVE,Our customers come from the following countries : UK, USA, Spain, France, Italy, Germany, China, Hong Kong, Sweden, Norway, Netherlands, Austria, Belgium, Switzerland, Czech Republic, Finland, Canada, Russia, Ukraine, Denmark, Ireland, South Korea and Liechtenstein. These countries contribute greatly to our company and we are proud of them.
NEUTRAL,There is no strong sentiment detected in this sentence."
2,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .","NEGATIVE, NEUTRAL, POSITIVE
 explanation
NEGATIVE, because CapMan's first real estate fund was a negative experience for the investors due to poor performance; NEUTRAL, because the description of the investment property is not negative; POSITIVE, because positive sentiment is accurately captured by the description of the investment property"
2,The value of the contracts is about EUR 3.3 mn .,"NEGATIVE, The value of the contracts is about EUR 3.3 mn is a negative sentence, because the value of the contracts is less than expected.

POSITIVE, The value of the contracts is about EUR 3.3 mn is a positive sentence, because the value of the contracts is about expected.

NEUTRAL, The value of the contracts is about EUR 3.3 mn is a neutral sentence, because the value of the contracts is about expected but it is not negative or positive.

Explanation: Sentence classification is a well know task in the NLP domain. Most sentence classify in the literate use classification algorithms to classify the sentences to Positive, Negative or Neutral. In this question I classified the sentiment of the given sentence as Positive or Negative. If you observed carefully, there is no negative word in the classification. I just classified the sentence as Positive based on the common sense. In the similar way you can also classify the given sentence with the common sense in the second line of the response."
2,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .","NEUTRAL
Explanation: According to Honka Japan's Managing Director Marko Saarelainen, Honkarakenne exports about 200 ready made log houses to Japan a year.
I would label this as 'NEUTRAL' as Japan is the largest market for Honka log houses and the comment positive or negative is not known in this context."
0,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .","NEGATIVE, NEUTRAL, POSITIVE
Explanation:
NEGATIVE: The sentence corresponds to negative sentiment.
NEUTRAL: The sentence has neither negative nor positive sentiment.
POSITIVE: The sentence corresponds to positive sentiment."
2,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .","NEGATIVE, the order comprises four ball mills, which will be organized in two different streams for treating ore in the Pilanesberg platinum mine. This means the order comprises four ball mills, which will be organized in two different streams for treating ore in the Pilanesberg platinum mine, is negative, because it refers to the order, which is confusing and comprises unnecessary information. There is no need to describe the order here. Just say the order is negative. Explain more in the next step.
 label: NEGATIVE"
0,"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .","NEGATIVE: In the second quarter of 2010, the company's net profit was EUR1.7 m compared to a net loss of EUR1.3 m in April-June 2009. The profit in 2Q10 was achieved when the company was losing money earlier.

POSITIVE: In the second quarter of 2010, the company's net profit was EUR1.7 m compared to a net loss of EUR1.3 m in April-June 2009. The company made significant profit in 2Q10.

NEUTRAL: In the second quarter of 2010, the company's net profit was EUR1.7 m compared to a net loss of EUR1.3 m in April-June 2009. The company made profits in 2Q10. Profits were earned from losing money in earlier periods."
0,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","NEGATIVE: The company's order book stood at 1.5 bln euro $ 2.2 bln on September 30, 2007, up by 24.2 pct on the year, with international orders amounting to 365 mln euro $ 534.3 mln. This shows the stock was overvalued and performance was heavily dependent on external factors (e.g. the economic situation in Europe).
POSITIVE: The company has tremendous growth potential and is well positioned to capitalise on future global economic expansions. The company has vast product portfolios and innovative solutions to drive future growth. Furthermore, management has a proven track record of achieving strong financial results. The company's order book stood at 1.5 bln euro $ 2.2 bln on September 30, 2007, up by 24.2 pct on the year, with international orders amounting to 365 mln euro $ 534.3 mln. This shows the company has a strong brand and is a good investment.
NEUTRAL: The company's order book stood at 1.5 bln euro $ 2.2 bln on September 30, 2007, up by 24.2 pct on the year, with international orders amounting to 365 m"
2,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,"NEGATIVE, 'Aspo has also investigated the sales opportunities of Kaukomarkkinat's electronics business' is negative as it relates to the sales of an electronics business.NEGATIVE
Explanation: 'Aspo has also investigated the sales opportunities of Kaukomarkkinat's electronics business' is negative as it relates to the sales of an electronics business."
0,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,"NEGATIVE, NEUTRAL, POSITIVE
 explanation
NEGATIVE, POSITIVE, NEUTRAL
 label NEGATIVE, POSITIVE, NEUTRAL"
