true_label,original_sent,text_output
2,"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .","The sentence ""In the third quarter of 2007, net sales totaled EUR 25.95 mn, and operating profit EUR 3.88 mn."" is classified as ""NEGATIVE"" sentiment."
0,Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,"The sentence ""Revenue grew 1 percent to euro742 million US$ 964 million from euro735 million"" is classified as neutral. The sentence does not contain any negative or positive sentiment."
0,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,"The sentence ""Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006"" is classified as ""NEGATIVE"" because it is negative in tone. The reason for this is that the word ""EUR"" is a currency symbol, and the word ""mn"" is a unit of measurement. The word ""EUR"" is a negative word, and the word ""mn"" is a negative number. Therefore, the sentence is negative in tone because it is negative in meaning."
0,"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .","The sentence ""Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005."" is classified as ""NEGATIVE"" because it is a negative sentiment. The sentence expresses that the company's net profit was lower than the previous year's net loss."
1,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .","The sentence ""Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006, compared to 8.4 mln euro $ 10.9 mln for 2005."" is classified as ""NEGATIVE"" because it is a negative statement about the financial performance of the company. The company's net profit decreased from 8.4 million euros in 2005 to 7.99 million euros in 2006. The company's financial performance is described as ""poor"" or ""negative"" in the sentence."
2,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .",The sentence is classified as NEUTRAL.
1,"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .","The sentence ""HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits, which overshadowed the large number of new orders received during the three months."" is classified as ""NEGATIVE"" because it is a negative statement about the company's financial performance. The company's earnings were lower than expected, and the company's stock price fell as a result."
0,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",The sentence is classified as NEUTRAL.
2,The identity of the buyer is not yet known .,The sentence is neutral.
2,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,"The sentence ""Cargotec's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR."" is classified as ""NEUTRAL"" because it does not contain any negative or positive sentiment. The sentence is neither negative nor positive, and it does not contain any information that would indicate a specific sentiment."
2,The deal will have no significant effect on the acquiring company 's equity ratio .,The sentence is classified as NEUTRAL.
0,"Operating loss was EUR 179mn , compared to a loss of EUR 188mn in the second quarter of 2009 .","The sentence ""Operating loss was EUR 179mn, compared to a loss of EUR 188mn in the second quarter of 2009."" is classified as NEGATIVE. The reason is that the word ""was"" is used to indicate a change in the past, and the sentence is describing a negative change."
2,"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden .","The sentence ""The order includes a log handling line, peeling line and drying line for the production of parquet base layer veneer for Plyfa's Hassela mill, central Sweden."" is classified as ""NEGATIVE"" because it is a negative statement about the order. The sentence implies that the order is not going well, and that the company is not satisfied with the progress of the project."
2,"Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 .","The sentence ""Exel's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19, 2007"" is classified as ""NEGATIVE"" because it is a negative statement about the company's financial performance. The sentence implies that the company's board of directors is proposing a dividend that is lower than expected, which could indicate a decline in the company's financial performance."
2,Customers in a wide range of industries use our stainless steel and services worldwide .,"The sentence ""Customers in a wide range of industries use our stainless steel and services worldwide"" is classified as neutral. The sentence does not contain any negative or positive sentiment, and the overall tone of the sentence is neutral."
0,Operating profit improved by 16.7 % to EUR 7.7 mn .,"The sentence ""Operating profit improved by 16.7% to EUR 7.7 mn"" is classified as ""NEUTRAL"" because it does not contain any negative or positive sentiment. The sentence is neutral because it does not contain any information that would indicate whether the company's performance is good or bad."
0,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,"The sentence ""Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006."" is classified as ""NEGATIVE"" because it expresses a negative sentiment. The sentence expresses a decrease in the company's net profit for the first nine months of 2007 compared to the same period of 2006. The company's net profit decreased by $56.8 million, which is a significant decrease. The sentence also expresses a negative sentiment because the company's net profit decreased, which is a negative development."
2,"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .","The sentence ""Den Bosch-based TomTom is Europe's largest maker of automotive navigation devices, while Cayman Islands-based Garmin is larger in the U.S. and overall"" is classified as neutral. The sentence does not contain any negative or positive sentiment."
2,"1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .","The sentence ""1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya, Building 1 Telephone : 495 777-34-77 ext. 3932, 3931 03.02.2011 Unimilk - EGM 03-04.02.2011 XVI international business-summit Food Business Russia 2011 will take place."" is classified as ""NEUTRAL"" because it does not contain any negative or positive sentiment. The sentence is not negative or positive, and it does not contain any information that would indicate a particular sentiment."
2,"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .","The sentence ""LONDON AFX - UK and European brokers'recommendations issued today, as collated by AFX News from a range of market sources. "" is classified as neutral."
2,`` Our aim is to understand different traffic patterns based on the use of each building .,"The sentence ""Our aim is to understand different traffic patterns based on the use of each building"" is classified as neutral."
0,"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .","The sentence ""Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009."" is classified as ""NEGATIVE"" because it is a negative sentiment. The company ""Teleste Oyj HEL"" is a Finnish broadband data communication systems provider, and the sentence ""it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010"" is a positive statement. The sentence ""a net loss of EUR 579,000 for the same period of 2009"" is a negative statement. The sentence ""Finnish broadband data communication systems provider"" is a company name, and the sentence ""it"" is a pronoun that refers to the company."
